Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Arena magazine,1039-1010,,Arena Printing and Publishing,Australia,Core Coverage - Actively Indexed
Armed forces and society,0095-327X,,Sage Publications Inc.,U.S.A.,Core Coverage - Actively Indexed
Artha vijnana,0971-586X,,Gokhale Institute of Politics and Economics,India,Core Coverage - Actively Indexed
ASEAN economic bulletin,0217-4472,,Institute of Southeast Asian Studies,Singapore,Core Coverage - Actively Indexed
Asia journal of theology,0218-0812,,Association for Theological Education in South East Asia,India,Core Coverage - Actively Indexed
Asia Pacific business review,1360-2381,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Asia Pacific journal of anthropology,1444-2213,,Taylor and Francis Ltd,Australia,Core Coverage - Actively Indexed
Asia Pacific journal of environmental law,1385-2140,,Australian Centre for Academic Law,Australia,Core Coverage - Actively Indexed
Asia Pacific journal of public administration,0259-8272,,"University of Hong Kong, Department of Political Science",Hong Kong,Core Coverage - Actively Indexed
Asia Pacific journal on environment and development,1023-7895,,Bangladesh Unnayan Parishad,Bangladesh,Core Coverage - Actively Indexed
Asia Pacific review,1343-9006,,"Carfax Publishing, Taylor and Francis Ltd",Japan,Core Coverage - Actively Indexed
Asia Pacific viewpoint,1360-7456,,Blackwell Publishing Asia,Australia,Core Coverage - Actively Indexed
Asian and African Studies [Bratislava],1335-1257,,"Slovak Academic Press Ltd., Institute of Oriental Studies, Slovak Academy of Sciences",Slovakia,Core Coverage - Actively Indexed
Asian and Pacific migration journal,0117-1968,,Scalabrini Migration Center,Philippines,Core Coverage - Actively Indexed
Asian business and management,1472-4782,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
Asian culture (Asian-Pacific culture) quarterly,0378-8911,,Asian-Pacific Cultural Center,Taiwan,Core Coverage - Actively Indexed
Asian development review,0116-1105,,Asian Development Bank,Philippines,Core Coverage - Actively Indexed
Asian economic policy review,1832-8105,,Blackwell Publishing,Australia,Core Coverage - Actively Indexed
Asian economic review,0004-4555,,Indian Institute of Economics,India,Core Coverage - Actively Indexed
Asian ethnicity,1463-1369,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Asian ethnology,1882-6865,,"Nanzan University, Anthropological Institute",Japan,Core Coverage - Actively Indexed
Asian Geographer,1022-5706,2158-1762,Hong Kong Baptist University,China,Core Coverage - Actively Indexed
Asian journal of communication,0129-2986,,"Routledge, Taylor and Francis Ltd",Singapore,Core Coverage - Actively Indexed
Asian journal of political science,0218-5377,1750-7812,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Asian journal of social science,1568-4849,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
Asian perspective [S. Korea],0258-9184,,"Kyungnam University, Institute for Far Eastern Studies",South Korea,Core Coverage - Actively Indexed
Asian perspectives [Hawaii],0066-8435,,University of Hawaii Press,U.S.A.,Core Coverage - Actively Indexed
Asian politics and policy,1943-0779,1943-0787,Wiley-Blackwell,United Kingdom,Core Coverage - Actively Indexed
Asian population studies,1744-1730,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Asian profile,0304-8675,,Asian Research Service,Hong Kong,Core Coverage - Actively Indexed
Asian security,1479-9855,,Taylor and Francis,U.S.A.,Core Coverage - Actively Indexed
Asian survey,0004-4687,,University of California Press Journals,U.S.A.,Core Coverage - Actively Indexed
Asian thought and society,0361-3968,,East-West Publishing,U.S.A.,Core Coverage - Actively Indexed
Asian-Pacific economic literature,0818-9935,1467-8411,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Asia-Pacific development journal,1020-1246,,United Nations Economic and Social Commission for Asia and the Pacific,Thailand,Core Coverage - Actively Indexed
Astrolabio,1668-7515,,Universidad Nacional de Cordoba,Argentina,Core Coverage - Actively Indexed
Ateneum Kaplanskie,0208-9041,,Wyzsze Seminarium Duchowne we Wloclawku,Poland,Selective Coverage - Actively Indexed
Athenea digital: Revista de pensamiento e investigacion social,1578-8946,,Autonomous University of Barcelona,Spain,Core Coverage - Actively Indexed
Atlantic economic journal,0197-4254,,Springer,Netherlands,Core Coverage - Actively Indexed
Atlantic studies,1478-8810,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Aussenwirtschaft,0004-8216,,Swiss Institute for International Economics and Applied Economic Research,Switzerland,Core Coverage - Actively Indexed
Australian and New Zealand journal of criminology,0004-8658,,Sage Publications,Australia,Core Coverage - Actively Indexed
Australian commodities quarterly journal,1321-7844,,Australian Bureau of Agricultural and Resource Economics (ABARE),Australia,Core Coverage - Actively Indexed
Australian economic history review,0004-8992,1467-8446,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Australian economic papers,0004-900X,1467-8454,Wiley-Blackwell Publishing Ltd.,Australia,Core Coverage - Actively Indexed
Australian economic review,0004-9018,1467-8462,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Australian e-journal for the advancement of mental health,1446-7984,,Auseinet,Australia,Core Coverage - Actively Indexed
Australian feminist studies,0816-4649,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Australian geographer,0004-9182,1465-3311,Taylor and Francis Ltd,Australia,Core Coverage - Actively Indexed
Australian journal of agricultural and resource economics,1364-985X,,Blackwell Publishing Asia,Australia,Core Coverage - Actively Indexed
Australian journal of anthropology,1035-8811,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Australian journal of early childhood,0312-5033,,Early Childhood Australia Inc.,Australia,Core Coverage - Actively Indexed
Australian journal of international affairs,1035-7718,,"Routledge, Taylor and Francis: 4 Park Square, Milton Park, Abingdon, OX14 4RN, U.K.",United Kingdom,Core Coverage - Actively Indexed
Australian journal of political science,1036-1146,1363-030X,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Australian journal of politics and history,0004-9522,1467-8497,Wiley-Blackwell Asia,Australia,Core Coverage - Actively Indexed
Australian journal of public administration,0313-6647,,Wiley-Blackwell Publishing Ltd.,Australia,Core Coverage - Actively Indexed
