Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Politikon,0258-9346,1470-1014,Taylor and Francis Ltd.,South Africa,Core Coverage - Actively Indexed
Politique africaine,0244-7827,,Editions Karthala,France,Selective Coverage - Actively Indexed
Politique Americaine,1771-8848,,Editions Choiseul,France,Selective Coverage - Actively Indexed
Politique etrangere,0032-342X,,Institut Francais des relations internationales,France,Selective Coverage - Actively Indexed
Politique europeenne,1623-6297,,Editions l'Hartmann,France,Selective Coverage - Actively Indexed
Politische Studien,0032-3462,,"Hanns-Seidel-Stiftung Referat Presse- und Offentlichkeitsarbeit,",Germany,Core Coverage - Actively Indexed
Politische Vierteljahresschrift,0032-3470,,Nomos Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Politisches Denken Jahrbuch,0942-2307,,"Schaffer-Poeschel Verlag fur Wirtschaft Steuern Recht GmbH & Co. KG, Germany",Germany,Core Coverage - Actively Indexed
Politix,0295-2319,,De Boeck Superior,France,Selective Coverage - Actively Indexed
Politologicky casopis,1211-3247,,Masarykova univerzita v Brne,Czech Republic,Core Coverage - Actively Indexed
Pomerania: miesiecznik spoleczno-kulturalny,0238-9045,,"Redakcja Pomeranii, Zarzad Glowny Zrzeszenia Kaszubsko-Pomorskiego",Poland,Selective Coverage - Actively Indexed
Popular music and society,0300-7766,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Population,0032-4663,,Institut National d'Etudes Demographiques (INED),France,Selective Coverage - Actively Indexed
Population and development review,0098-7921,1728-4457,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Population and environment,0199-0039,,Springer,U.S.A.,Core Coverage - Actively Indexed
Population et societes,0184-7783,,Institut National d'Etudes Demographiques,France,Core Coverage - Actively Indexed
Population research and policy review,0167-5923,1573-7829,Springer,Netherlands,Core Coverage - Actively Indexed
Population review,0032-471X,,Indian Institute for Population Studies,U.S.A.,Core Coverage - Actively Indexed
Population studies [London],0032-4728,1477-4747,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
"Population, space and place",1544-8444,,John Wiley & Sons Ltd.,United Kingdom,Core Coverage - Actively Indexed
Portuguese economic journal,1617-982X,,Springer,Germany,Core Coverage - Actively Indexed
Portuguese journal of social science,1476-413X,,Intellect,United Kingdom,Core Coverage - Actively Indexed
Positions et medias,1628-1888,,SARL Cap Editions,France,Core Coverage - Actively Indexed
Postcolonial studies,1368-8790,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Post-communist economies,1463-1377,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Postdata: revista de reflexion y analisis politico,1851-9601,,Badaraco Libros,Argentina,Core Coverage - Actively Indexed
Post-Soviet affairs,1060-586X,1938-2855,Taylor and Francis Ltd,U.S.A.,Core Coverage - Actively Indexed
Potchefstroomse elektroniese regsblad/Potchefstroom electronic law journal,1727-3781,,North West University,South Africa,Core Coverage - Actively Indexed
Pouvoirs,0152-0768,,Editions du Seuil,France,Selective Coverage - Actively Indexed
Pouvoirs dans la Caraibe,1279-8657,,L'Harmattan,France,Core Coverage - Actively Indexed
Prace i materialy Muzeum Archeologicznego i Etnograficznego w Lodzi. Seria Etnograficzna,0076-0315,,Archaeological and Ethnographic Museum in Lodz,Poland,Selective Coverage - Actively Indexed
Practice: Social work in action,0950-3153,1742-4909,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Practicing anthropology,0999-4552,,Society for Applied Anthropology,U.S.A.,Core Coverage - Actively Indexed
Prague economic papers,1210-0455,,"University of Economics, Prague",Czech Republic,Core Coverage - Actively Indexed
Presence africaine,0032-7638,,Presence Africaine,France,Core Coverage - Actively Indexed
Presidential studies quarterly,0360-4918,1741-5705,Wiley-Blackwell Publishing Inc.,U.S.A.,Core Coverage - Actively Indexed
Prevention science,1389-4986,,Springer,U.S.A.,Core Coverage - Actively Indexed
Privredna kretanja i ekonomska politika,1330-187X,,Institute of Economics,Croatia,Core Coverage - Actively Indexed
Problemas del desarrollo: Revista latinoamericana de economia,0301-7036,,Revista Problemas del Desarrollo,Mexico,Core Coverage - Actively Indexed
Problemes d'Amerique latine,0765-1333,,Choiseul Editions,France,Selective Coverage - Actively Indexed
Problems and perspectives in management,1727-7051,1810-5467,Business Perspectives Publishing Company,Ukraine,Core Coverage - Actively Indexed
Problems of economic transition,1061-1991,,M.E Sharpe Inc,U.S.A.,Core Coverage - Actively Indexed
Problemy Humanistyki,1505-246X,,Wyzsza Szkola Nauk Humanistycznych i Dziennikarstwa,Poland,Selective Coverage - Actively Indexed
Problemy zarzadzania,1644-9584,,Wydzia Zarzdzania UW,Poland,Core Coverage - Actively Indexed
Professional geographer,0033-0124,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Progress in development studies,1464-9934,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Progress in human geography,0309-1325,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Progress in planning,0305-9006,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Projet,0033-0884,,Ceras,France,Selective Coverage - Actively Indexed
Prokla: Zeitschrift fur kritische Sozialwissenschaft,0342-8176,,Verlag Westfalisches Dampfboot,Germany,Core Coverage - Actively Indexed
Prometheus,0810-9028,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Prowincja: kwartalnik spoleczno-kulturalny Dolnego Powisla i Zulaw,2082-0291,,Stowarzyszenie Inicjatyw Obywatelskich TAKA GMINA w Sztumie,Poland,Selective Coverage - Actively Indexed
Przeglad Europejski,1641-2478,,Dom Wydawniczy Elipsa,Poland,Core Coverage - Actively Indexed
Przeglad historyczny,0033-2186,,Wydawnictwo DiG,Poland,Core Coverage - Actively Indexed
Przeglad humanistyczny,0033-2194,,Wydawnictwa Uniwersytetu Warszawskiego,Poland,Selective Coverage - Actively Indexed
Przeglad kulturoznawczy,1895-975X,,"Polska Akademia Nauk, Warszawska Drukarnia Naukowa",Poland,Selective Coverage - Actively Indexed
Przeglad orientalistyczny,0033-2283,,Polskie Towarzystwo Orientalityczne,Poland,Selective Coverage - Actively Indexed
Przeglad religioznawczy,1230-4379,,Polskie Towarzystwo Religioznawcze,Poland,Selective Coverage - Actively Indexed
Przeglad socjologiczny,0033-2356,,Lodzkie Towarzystwo Naukowe,Poland,Selective Coverage - Actively Indexed
Przeglad wschodni,0867-5929,,Studium Europy Wschodniej Uniwersytetu Warszawskiego,Poland,Selective Coverage - Actively Indexed
Przeglad zachodni,0033-2437,,Instytut Zachodni w Poznaniu,Poland,Selective Coverage - Actively Indexed
Psicologia & sociedade,1807-0310,,Associacao Brasileira de Psicologia Social,Brazil,Core Coverage - Actively Indexed
Psicologia: teoria e pesquisa,1806-3446,,Universidade de Brasilia,Brazil,Core Coverage - Actively Indexed
Psicoterapia e scienze umane,0394-2864,,Franco Angeli,Italy,Core Coverage - Actively Indexed
PSL quarterly review,2037-3643,,PSL Quarterly Review,Italy,Core Coverage - Actively Indexed
Psychological bulletin,0033-2909,,American Psychological Association,U.S.A.,Core Coverage - Actively Indexed
Psychological review,0033-295X,1939-1471,American Psychological Association,U.S.A.,Core Coverage - Actively Indexed
Psychological science: a journal of the American Psychological Association,0956-7976,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Psychology and developing societies,0971-3336,,Sage Publications Ltd,India,Core Coverage - Actively Indexed
Psychology of women quarterly,0361-6843,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
"Psychology, crime and law",1068-316X,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Psychosozial,0171-3434,,Psychosozial verlag,Germany,Core Coverage - Actively Indexed
Psychotherapie und Sozialwissenschaft,1436-4638,,Psychosozial-Verlag,Germany,Core Coverage - Actively Indexed
Public administration,0033-3298,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Public administration and development,0271-2075,1099-162X,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Public administration review,0033-3352,1540-6210,Wiley-Blackwell Publishing Inc.,U.S.A.,Core Coverage - Actively Indexed
Public affairs quarterly,0887-0373,,University of Illinois Press,U.S.A.,Core Coverage - Actively Indexed
Public and municipal finance,2222-1867,2222-1875,Business Perspectives Publishing Company,Ukraine,Core Coverage - Actively Indexed
Public choice,0048-5829,,Springer,Netherlands,Core Coverage - Actively Indexed
Public culture,0899-2363,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
Public finance review,1091-1421,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Public health ethics,1754-9973,,Oxford university press,United Kingdom,Core Coverage - Actively Indexed
Public law,0033-3565,,Sweet & Maxwell,United Kingdom,Core Coverage - Actively Indexed
Public management review,1471-9037,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Public money and management,0954-0962,1467-9302,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Public opinion quarterly,0033-362X,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
Public policy and administration,0952-0767,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Publius: the journal of federalism,0048-5950,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
Publizistik,0033-4006,,Springer VS,Germany,Core Coverage - Actively Indexed
Pula: Botswana journal of African studies,0256-2316,,Research and Development Unit,Botswana,Core Coverage - Actively Indexed
Punishment and society,1462-4745,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Quaderni dell'osservatorio elettorale,0392-6753,,Giunta Regionale Toscana,Italy,Core Coverage - Actively Indexed
Quaderni di sociologia,0033-4952,,Rosenberg & Sellier,Italy,Core Coverage - Actively Indexed
Quaderni storici,0301-6307,,Societa editrice il Mulino,Italy,Core Coverage - Actively Indexed
Qualitative inquiry,1077-8004,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Qualitative research,1468-7941,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Qualitative sociology,0162-0436,,Springer,Netherlands,Core Coverage - Actively Indexed
Qualitative sociology review,1733-8077,,Sociology of Organization & Management Dept.,Poland,Core Coverage - Actively Indexed
Quality and quantity,0033-5177,,Springer,Netherlands,Core Coverage - Actively Indexed
Quarterly journal of economics,0033-5533,,Oxford University Press,U.K.,Core Coverage - Actively Indexed
Quest,1011-226X,,Centre for Development Studies,Netherlands,Core Coverage - Actively Indexed
Questions de communication,1633-5961,,Presses Universitaires de Nancy,France,Core Coverage - Actively Indexed
Questions de recherche / Research in question,1634-0671,,CERI,France,Core Coverage - Actively Indexed
Questions internationales,1761-7146,,La Documentation Francaise,France,Core Coverage - Actively Indexed
Race and class,0306-3968,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Race ethnicity and education,1361-3324,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Radical history review,0163-6545,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
Radical philosophy review,1388-4441,,Philosophy Documentation Center,U.S.A.,Core Coverage - Actively Indexed
Raisons politiques,1291-1941,,Presses de Sciences Po,France,Selective Coverage - Actively Indexed
RAND journal of economics,0741-6261,1756-2171,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Rassegna economica,0390-010X,,SRM,Italy,Core Coverage - Actively Indexed
Rassegna italiana di sociologia,0486-0349,,Societa editrice il Mulino,Italy,Core Coverage - Actively Indexed
Rationality and society,1043-4631,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
Razprave in gradivo: revija za narodnostna vprasanja,0354-0286,,Institute for Ethnic Studies,Slovenia,Core Coverage - Actively Indexed
Realites industrielles,1148-7941,,Editions ESKA,France,Core Coverage - Actively Indexed
Recherches economiques de Louvain,0770-4518,,De Boeck Superieur,Belgium,Core Coverage - Actively Indexed
Recherches feministes,0838-4479,,Revue Recherches feministes,Canada,Core Coverage - Actively Indexed
Recherches sociographiques,0034-1282,,Recherches sociographiques,Canada,Core Coverage - Actively Indexed
Recherches sociologiques et anthropologiques,1782-1592,,Recherches sociologiques et anthropologiques,Belgium,Selective Coverage - Actively Indexed
Rechtstheorie,0034-1398,,Duncker & Humblot,Germany,Core Coverage - Actively Indexed
Reflets et perspectives de la vie economique,0034-2971,,De Boeck University,France,Selective Coverage - Actively Indexed
Refuge,0229-5113,,Centre for Refugee Studies,Canada,Core Coverage - Actively Indexed
Regards sur l'economie allemande,1156-8992,,CIRAC,France,Core Coverage - Actively Indexed
Regio,0865-557X,,Teleki Laszlo Intezet,Hungary,Selective Coverage - Actively Indexed
Region: ekonomika i sotsiologiia,0868-5169,,Izdatel'stvo SO RAN,Russia,Core Coverage - Actively Indexed
Regional and federal studies,1359-7566,,"Frank Cass, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Regional and sectoral economic studies,1578-4460,,Euro-American Association of Economic Development,Spain,Core Coverage - Actively Indexed
Regional science and urban economics,0166-0462,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Regional studies,0034-3404,1360-0591,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Relacoes internacionais,1645-9199,,Instituto Portuges de Relacoes Internacionais,Portugal,Core Coverage - Actively Indexed
Relations industrielles/Industrial relations,0034-379X,,Universite Laval,Canada,Core Coverage - Actively Indexed
Relations internationales,0335-2013,,Presses Universitaires de France,France,Selective Coverage - Actively Indexed
Religion,0048-721X,1096-1151,Taylor & Francis Ltd.,Norway,Core Coverage - Actively Indexed
"Religion, state and society",0963-7494,1465-3974,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
REM: revue de l'economie meridionale,0987-3813,,CRPEE,France,Core Coverage - Actively Indexed
Renewal: the journal of Labour politics,0968-252X,,Lawrence & Wishart,United Kingdom,Core Coverage - Actively Indexed
Representation,0034-4893,1749-4001,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Reproductive health matters,0968-8080,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Res - Anthropology and aesthetics,0277-1322,,Peabody Museum of Archaeology and Ethnology,U.S.A.,Core Coverage - Actively Indexed
Res humana,,,Racjonalista.pl,Poland,Selective Coverage - Actively Indexed
Res publica [Brussels],0486-4700,,Uitgeverij Acco,Belgium,Core Coverage - Actively Indexed
Res publica [Warsaw],1230-2155,,Batory Press spolka z.o.o,Poland,Selective Coverage - Actively Indexed
Research in African literatures,0034-5210,,Indiana University Press,U.S.A.,Core Coverage - Actively Indexed
Research in economic anthropology,0190-1281,,Emerald Group Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Research in economics/Ricerche economiche,1090-9443,,Elsevier,Netherlands,Core Coverage - Actively Indexed
Research in education,0034-5237,,Manchester University Press,United Kingdom,Core Coverage - Actively Indexed
Research in social stratification and mobility,0276-5624,,Elsevier,U.S.A.,Core Coverage - Actively Indexed
Research on aging,0164-0275,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Research papers in education - policy and practice,0267-1522,1470-1146,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Research policy,0048-7333,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Reseaux,0751-7971,,Lavoisier SAS,France,Selective Coverage - Actively Indexed
Resources policy,0301-4207,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Responsabilite et environnement,1268-4783,,Editions ESKA,France,Selective Coverage - Actively Indexed
Rethinking Marxism,0893-5696,,Taylor and Francis Ltd,U.S.A.,Core Coverage - Actively Indexed
Retraite et societe,1167-4687,,La Documentation Francaise,France,Core Coverage - Actively Indexed
Review of African political economy,0305-6244,1740-1720,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Review of agricultural and environmental studies,1966-9607,,Institut National de la Recherche Agronomique,France,Core Coverage - Actively Indexed
Review of black political economy,0034-6446,,Springer New York LLC,Netherlands,Core Coverage - Actively Indexed
Review of business and economics,2031-1761,,Katholieke Universiteit Leuven,Belgium,Core Coverage - Actively Indexed
Review of Central and East European law,0925-9880,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
Review of development economics,1363-6669,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Review of development finance,1879-9337,,Elsevier Science,South Africa,Core Coverage - Actively Indexed
Review of economic conditions in Italy,0034-6799,,Unicredit Group,Italy,Core Coverage - Actively Indexed
Review of economic dynamics,1094-2025,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Review of economic studies,0034-6527,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Review of economics and statistics,0034-6535,,MIT Press,U.S.A.,Core Coverage - Actively Indexed
"Review of education, pedagogy and cultural studies",1071-4413,,"Taylor and Francis, Inc.",U.S.A.,Core Coverage - Actively Indexed
Review of financial studies,0893-9454,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
Review of income and wealth,0034-6586,1475-4991,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Review of industrial organization,0889-938X,,Springer,Netherlands,Core Coverage - Actively Indexed
Review of international economics,0965-7576,1467-9396,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Review of international political economy,0969-2290,1466-4526,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Review of international studies,0260-2105,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Review of Islamic economics,0962-2055,,International Association for Islamic Economics,United Kingdom,Core Coverage - Actively Indexed
Review of Middle East economics and finance,1475-3685,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Review of Middle East studies,0307-7985,,Scorpion Publishing,United Kingdom,Core Coverage - Actively Indexed
Review of Middle East studies,2151-3481,,Middle East Studies Association of North America,U.S.A.,Core Coverage - Actively Indexed
Review of network economics,1446-9022,,Berkeley Eclectronic Press,Singapore,Core Coverage - Actively Indexed
Review of Pacific Basin financial markets and policies,0219-0915,1793-6705,World Scientific Publishing Co. Pte Ltd,Singapore,Core Coverage - Actively Indexed
Review of policy research,1528-3577,1541-1338,Wiley-Blackwell,United Kingdom,Core Coverage - Actively Indexed
Review of policy research,1541-132X,,Wiley-Blackwell,United Kingdom,Core Coverage - Actively Indexed
Review of political economy,0953-8259,1465-3982,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Review of politics,0034-6705,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Review of quantitative finance and accounting,0924-865X,1573-7179,Springer,Netherlands,Core Coverage - Actively Indexed
Review of radical political economics,0486-6134,,Sage Publications Inc.,U.S.A.,Core Coverage - Actively Indexed
Review of social economy,0034-6764,1470-1162,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Review of the economic situation of Mexico,0187-3407,,"Banco Nacional de Mexico, Department of Economic Research",Mexico,Core Coverage - Actively Indexed
Review of urban and regional development studies,0917-0553,1467-940X,Wiley-Blackwell Publishing Ltd.,Japan,Core Coverage - Actively Indexed
Review of world economics,1610-2878,,Springer,Germany,Core Coverage - Actively Indexed
Review. Federal Reserve Bank of St. Louis,0014-9187,,"Federal Reserve Bank of St. Louis, Research and Public Information Department",U.S.A.,Core Coverage - Actively Indexed
Review. Fernand Braudel Center,0147-9032,,Fernand Braudel Center,U.S.A.,Core Coverage - Actively Indexed
Reviews in anthropology,0093-8157,,Taylor and Francis Inc.,U.S.A.,Core Coverage - Actively Indexed
Revija za socijalnu politiku,1330-2965,,Pravni fakultet Sveucilista u Zagrebu,Croatia,Core Coverage - Actively Indexed
Revija za sociologiju,0350-154X,,Revija za Sociologiju,Croatia,Core Coverage - Actively Indexed
Revista ABRA,2215-2997,,"Universidad de Costa Rica, Instituto de Investigaciones Sociales",Costa Rica,Core Coverage - Actively Indexed
Revista Andina de Estudios Politicos,2221-4135,,Universidad Nacional Mayor de San Marcos,Peru,Core Coverage - Actively Indexed
Revista Angolana de sociologia,1646-9860,,"Edicoes Pedago, Portugal",Portugal,Core Coverage - Actively Indexed
Revista anthropologicas,1516-7372,,Universidade Federal de Pernambuco,Brazil,Core Coverage - Actively Indexed
Revista brasileira de economia,0034-7140,,Fundacao Getulio Vargas,Brazil,Core Coverage - Actively Indexed
Revista brasileira de estudos de populacao,0102-3098,,Revista Brasileira de Estudos de Populacao,Brazil,Core Coverage - Actively Indexed
Revista brasileira de politica internacional,0034-7329,,Universidade de Brasilia,Brazil,Core Coverage - Actively Indexed
Revista busqueda,1609-2414,,Universidad Mayor de San Simon,Bolivia,Core Coverage - Actively Indexed
Revista Chilena de antropologia,0716-3312,,"Departamento de Antropologia, facultad de ciencas sociales. Universidad de chile",Chile,Core Coverage - Actively Indexed
Revista colombiana de antropologia,0486-6525,,Instituto Colombiano de Antropologia e Historia,Colombia,Core Coverage - Actively Indexed
Revista colombiana de educacion,0120-3916,,Universidad Pedagogica Nacional,Colombia,Core Coverage - Actively Indexed
Revista Critica de Ciencias Sociais,0254-1106,,Universidade de Coimbra,Portugal,Core Coverage - Actively Indexed
Revista de administracao de empresas,0034-7590,,"Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo",Brazil,Core Coverage - Actively Indexed
Revista de administracion publica,0034-7639,,Centro de Estudios Politcos y Constitucionales,Spain,Core Coverage - Actively Indexed
Revista de antropologia social,1131-558X,,Universidad Complutense,Spain,Core Coverage - Actively Indexed
Revista de asistenta sociala/Social work review,1583-0608,,Polirom Publishing House,Romania,Core Coverage - Actively Indexed
Revista de ciencia politica [Santiago],0716-1417,,"Instituto de Ciencia Politica, Facultad de Historia, Geografia y Ciencia Politica",Chile,Core Coverage - Actively Indexed
Revista de ciencias sociales [Chile],0718-3631,,Universidad Arturo Prat,Chile,Core Coverage - Actively Indexed
Revista de ciencias sociales [Costa Rica],2215-2601,,Universidad de Costa Rica,Costa Rica,Core Coverage - Actively Indexed
Revista de ciencias sociales [Puerto Rico],0034-7817,,"Universidad de Puerto Rico, Centro de Investigaciones Sociales",Puerto Rico,Core Coverage - Actively Indexed
Revista de economia,0797-5546,,Banco Central del Uruguay,Uruguay,Core Coverage - Actively Indexed
Revista de Economia Aplicada,1133-455X,,Universidad de Zaragoza,Spain,Core Coverage - Actively Indexed
Revista de economia del rosario,0123-5362,,Universidad del Rosario,Colombia,Core Coverage - Actively Indexed
Revista de economia institucional,0124-5996,,Revista de Economia Institucional,Colombia,Core Coverage - Actively Indexed
Revista de Economia Mundial,1576-0162,,Universidad de Huelva,Spain,Core Coverage - Actively Indexed
Revista de estudios cooperativos,1135-6618,,Universidad Complutense de Madrid,Spain,Core Coverage - Actively Indexed
Revista de estudios sociales,0123-885X,,Universidad de los Andes,Colombia,Core Coverage - Actively Indexed
Revista de fomento social,0015-6043,,ETEA Institucion Universitaria de la Compania de Jesus,Spain,Core Coverage - Actively Indexed
Revista de historia economica,0212-6109,,Cambridge University Press,Spain,Core Coverage - Actively Indexed
Revista de humanidades: tecnologico de Monterrey,1405-4167,,Division de Humanidades y Ciencias Sociales,Mexico,Core Coverage - Actively Indexed
Revista de metodos cuantitativos para la economia y la empresa,1886-516X,,"Universidad Pablo de Olavide, Spain",Spain,Core Coverage - Actively Indexed
Revista de sociologia e politica,0104-4478,,"Universidade Federal do Parana, Departamento de Ciencias Sociais",Brazil,Core Coverage - Actively Indexed
Revista Derechos y Libertades,1133-0937,,Universidad Carlos III de Madrid,Spain,Core Coverage - Actively Indexed
"Revista d'Internet, dret i politica",1699-8154,,Universitat Oberta de Catalunya,Spain,Core Coverage - Actively Indexed
Revista Espanola de sociologia,1578-2824,,"Mundi-prensa Libros S.A. - Castello 37, 28001 Madrid",Spain,Core Coverage - Actively Indexed
Revista Estudios,1852-1568,,Universidad Nacional de Cordoba,Argentina,Core Coverage - Actively Indexed
Revista estudos feministas,0104-026X,,"Centro de Filosofia e Ciencias Humanas, Universidade Federal de Santa Catarina",Brazil,Core Coverage - Actively Indexed
Revista Europea de Direccion y Economia de la Empresa,1019-6838,,Academia Europea de Direccion y Economia de la Empresa,Spain,Core Coverage - Actively Indexed
Revista gerencia y politicas de salud,1657-7027,,Pontificia Universidad Javeriana,Colombia,Core Coverage - Actively Indexed
Revista Gestao Universitaria na America Latina (GUAL),1983-4535,,Universidade Federal de Santa Catarina,Brazil,Core Coverage - Actively Indexed
"Revista Iberoamericana de ciencia, tecnologia y sociedad",1668-0030,,"REDES - Centro de Estudios sobre Ciencia, Desarrollo y Educacion Superior",Argentina,Core Coverage - Actively Indexed
Revista internacional de linguistica Iberoamericana,1579-9425,,Iberoamericana Editorial / Vervuert,Spain,Core Coverage - Actively Indexed
Revista internacional de organizaciones RIO,2013-570X,1886-4171,Universitat Rovitra i Virgili,Spain,Core Coverage - Actively Indexed
Revista Latinoamericana de administracion,1012-8255,,Facultad de Administracion de la Universidad de los Andes,Colombia,Core Coverage - Actively Indexed
"Revista Latinoamericana de ciencias sociales, ninez y juventud",1692-715X,2027-7679,Universidad de Manizales,Colombia,Core Coverage - Actively Indexed
Revista Latinoamericana de Derechos Humanos,1659-4304,,"Universidad de Costa Rica, Instituto de Investigaciones Sociales",Costa Rica,Core Coverage - Actively Indexed
Revista Latinoamericana de Desarrollo Economico,2074-4706,,"Universidad Catolica Boliviana ""San Pablo""",Bolivia,Core Coverage - Actively Indexed
Revista LIDER: Revista labor interdisciplinaria de desarrollo regional,0717-0165,,Centro de Estudios del Desarrollo Local y Regional,Chile,Core Coverage - Actively Indexed
Revista lusofona de educacao,1645-7250,,Revista Lusofona de Educacao,Portugal,Core Coverage - Actively Indexed
Revista Reflexiones,1659-2859,,Universidad de Costa Rica,Costa Rica,Core Coverage - Actively Indexed
Revista SAAP,1666-7883,,Sociedad Argentina de Analisis Politico,Argentina,Core Coverage - Actively Indexed
Revista Tellus,1519-9452,,Universidade Catolica Dom Bosco,Brazil,Core Coverage - Actively Indexed
Revista Umbral,2151-8386,,Universidad de Puerto Rico,Puerto Rico,Core Coverage - Actively Indexed
Revue archeologique,0035-0737,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
Revue belge de droit international/Belgian review of international law/Belgisch tijdschrift voor internationaal recht,0035-0788,,Bruylant,Belgium,Core Coverage - Actively Indexed
Revue canadienne d'etudes du developpement/Canadian journal of development studies,0225-5189,,"Universite d'Ottawa, Institut de developpement international et de cooperation/ University of Ottawa, Institute for International Development and Co-operation",Canada,Core Coverage - Actively Indexed
Revue commune,1277-1465,,Le Monde Diplomatique,France,Core Coverage - Actively Indexed
Revue critique de droit international prive,0035-0958,,Peace Palace Library,Netherlands,Core Coverage - Actively Indexed
Revue d'Allemagne,0035-0974,,Sciences Po Lyon,France,Selective Coverage - Actively Indexed
Revue d'anthropologie des connaissances,1760-5393,,Societe d'anthropologie des connaissances,France,Core Coverage - Actively Indexed
Revue de droit international et de droit compare,0775-4663,,Bruylant,Belgium,Selective Coverage - Actively Indexed
Revue de gestion des ressources humaines,1163-913X,,Editions ESKA,France,Selective Coverage - Actively Indexed
Revue de l'energie,0303-240X,,EDITECOM,France,Core Coverage - Actively Indexed
Revue de l'Institut de sociologie,0770-1055,,"Institut de Sociologie, Universite Libre de Bruxelles",Belgium,Core Coverage - Actively Indexed
Revue de l'integration et de la migration internationale/Journal of international migration and integration,1488-3473,,Springer,Netherlands,Core Coverage - Actively Indexed
Revue de l'IRES,1145-1378,,Institut de Recherches Economiques et Sociales,France,Core Coverage - Actively Indexed
Revue de l'OFCE: Observations et diagnostics economiques,1265-9576,,Presses de la Fondation Nationale des Sciences Politiques,France,Selective Coverage - Actively Indexed
Revue de philosophie economique,1376-0971,,De Boeck University,France,Selective Coverage - Actively Indexed
